_id,psuedocode,state,district,rural_urban,assembly,parliamentary,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,highclass,managment,pincode,year_of_establishment,year_of_recognition_pr,year_of_recognition_up,year_of_recognition_sec,year_of_recognition_hsec,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_premises,anganwadi_boys,anganwadi_girls,anganwadi_worker,instr_days_pr,instr_days_up,instr_days_sec,instr_days_hsec,avg_school_hrs_student_pr,avg_school_hrs_student_up,avg_school_hrs_student_sec,avg_school_hrs_student_hsec,avg_school_hrs_teacher_pr,avg_school_hrs_teacher_up,avg_school_hrs_teacher_sec,avg_school_hrs_teacher_hsec,cce_pr,cce_up,cce_sec,cce_hsec
64,7067423,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",4,3,5,8,1,700030,1976,,1984,,,2,2,3,9,2,4,0,0,0,0,0,1,9,2,0,0,0,0,232,0,0,0.00,5.40,0.00,0.00,0.00,5.40,0.00,0.00,9,1,9,9
65,5916995,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",5,3,5,12,1,700050,1965,,,1965,1998,2,2,3,9,2,2,0,0,0,2,2,1,9,2,0,0,0,0,221,215,218,0.00,5.45,5.45,5.45,0.00,5.40,5.40,5.40,9,1,2,2
66,1202706,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",5,2,5,12,1,700050,1975,,1975,1979,2018,2,1,3,9,2,2,0,0,0,2,2,1,9,2,0,0,0,0,172,172,172,0.00,6.00,6.00,6.00,0.00,7.00,7.00,7.00,9,1,1,2
67,8528920,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.1,"","",1,3,1,4,1,700002,1967,1967,,,,2,2,3,9,2,4,0,0,0,0,0,1,1,2,0,0,0,248,0,0,0,4.40,0.00,0.00,0.00,5.30,0.00,0.00,0.00,1,9,9,9
68,8258334,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.1,"","",1,2,1,4,4,700006,1976,1953,,,,2,2,2,3,1,2,0,0,0,0,0,1,2,2,0,0,0,222,0,0,0,5.00,0.00,0.00,0.00,6.00,0.00,0.00,0.00,1,9,9,9
69,3652120,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.1,"","",6,3,1,10,5,700002,2019,2017,2017,,,2,2,3,9,2,19,0,0,0,2,0,1,2,9,0,0,0,187,187,187,0,4.10,5.00,5.00,0.00,5.00,6.00,6.00,0.00,2,2,2,9
70,1450769,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.1,"","",7,3,6,10,1,700002,2009,,2009,2020,,2,2,3,9,2,18,0,0,0,2,0,1,9,2,0,0,0,0,232,232,0,0.00,5.00,5.00,0.00,0.00,6.00,6.00,0.00,9,1,1,9
71,3710839,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",1,3,1,4,1,700002,1969,1969,,,,2,1,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,4.10,0.00,0.00,0.00,4.20,0.00,0.00,0.00,1,9,9,9
72,7627598,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",1,3,1,4,1,700002,1967,1969,,,,2,2,3,9,2,4,0,0,0,0,0,1,1,2,0,0,0,248,0,0,0,4.40,0.00,0.00,0.00,5.10,0.00,0.00,0.00,1,9,9,9
73,7100367,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",1,2,1,4,1,700050,1975,1976,,,,2,2,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,4.00,0.00,0.00,0.00,4.15,0.00,0.00,0.00,1,9,9,9
74,8200874,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",1,3,1,5,1,700030,1969,1969,,,,2,2,3,9,2,4,0,0,0,0,0,1,1,2,0,0,0,244,0,0,0,4.30,0.00,0.00,0.00,5.20,0.00,0.00,0.00,1,9,9,9
75,2200863,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",1,3,1,4,1,700050,1974,1974,,,,2,2,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,4.00,0.00,0.00,0.00,4.40,0.00,0.00,0.00,2,9,9,9
76,3213581,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",1,3,1,4,1,700002,1955,1963,,,,2,2,3,9,2,4,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,5.00,0.00,0.00,0.00,5.30,0.00,0.00,0.00,1,9,9,9
77,8772879,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",1,1,1,5,1,700050,1961,1961,,,,2,2,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,4.20,0.00,0.00,0.00,4.30,0.00,0.00,0.00,1,9,9,9
78,9042292,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",1,3,1,4,1,700050,1961,1961,,,,2,2,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,4.20,0.00,0.00,0.00,4.30,0.00,0.00,0.00,1,9,9,9
79,8965682,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",1,3,1,4,1,700030,1953,1953,,,,2,2,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,235,0,0,0,3.30,0.00,0.00,0.00,4.00,0.00,0.00,0.00,1,9,9,9
80,7946648,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",7,3,5,10,1,700002,1966,,1980,1996,,2,2,3,9,2,4,0,0,0,2,0,1,9,2,0,0,0,0,238,238,0,0.00,5.40,5.40,0.00,0.00,5.40,5.40,0.00,9,1,2,9
81,3747842,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",1,3,1,5,1,700050,1960,1960,,,,2,2,2,9,2,2,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,4.15,0.00,0.00,0.00,4.30,0.00,0.00,0.00,1,9,9,9
82,6971212,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",6,3,1,10,4,700002,1909,,,,,2,2,3,9,2,2,19,0,0,2,0,1,1,2,0,0,0,232,232,232,0,5.00,5.00,5.00,0.00,5.00,5.00,5.00,0.00,1,1,1,9
83,2990411,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",3,3,1,12,92,700002,1983,1983,1983,1983,1986,2,2,3,9,2,19,4,0,0,1,1,1,2,2,0,0,0,211,211,211,211,6.10,6.10,6.10,6.10,6.40,6.40,6.40,6.40,1,1,1,1
84,1935003,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.4,"","",1,3,1,4,1,700030,1961,1963,,,,2,1,3,9,2,4,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,5.10,0.00,0.00,0.00,5.20,0.00,0.00,0.00,1,9,9,9
85,8238758,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.4,"","",1,3,1,4,1,700030,1975,1981,,,,2,2,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,232,0,0,0,4.30,0.00,0.00,0.00,5.20,0.00,0.00,0.00,1,9,9,9
86,4197444,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.4,"","",1,3,1,4,1,700002,1969,1973,,,,2,2,3,9,2,2,0,0,0,0,0,1,2,2,0,0,0,232,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,9,9,9
