_id,psuedocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,func_boys_cwsn_friendly,func_girls_cwsn_friendly,urinal_boys,urinla_girls,handwash_near_toilet,drinking_water_available,drinking_water_functional,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,playground_available,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,ict_lab,laptop,tablet,desktop,digiboard,projector,printer,internet,dth
381,5898947,3,1,1,1,7,8,7,0,0,1,3,3,0,0,1,0,10,0,1,1,1,2,1,1,2,1,1,1,1,2,200,2,0,0,2,1,1,1,1,2
382,8929923,2,2,2,1,5,0,5,0,0,2,3,3,3,3,1,0,1,1,1,1,1,2,1,1,2,1,1,1,2,2,0,2,0,0,0,0,0,0,2,2
383,3138503,3,1,1,1,3,3,3,0,0,2,1,1,3,3,0,0,3,1,1,1,1,2,1,1,2,2,1,2,1,2,80,2,0,0,0,0,0,0,2,2
384,5770407,1,1,1,1,10,8,10,0,0,1,1,1,1,1,1,0,0,1,1,1,1,2,1,1,2,1,1,1,2,2,20,2,0,0,3,0,0,0,1,2
385,2532583,4,1,1,1,12,16,11,0,1,1,3,3,2,2,0,0,7,5,1,1,1,2,1,1,2,1,1,1,1,2,339,2,0,0,0,0,0,0,1,2
386,7387129,3,1,0,1,5,1,0,5,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,1,1,2,110,2,0,0,0,0,0,0,2,2
387,1726801,4,1,1,1,8,1,4,0,4,1,2,2,2,2,0,0,2,2,1,1,1,2,1,1,2,1,1,1,1,2,225,2,0,0,0,0,0,0,1,2
388,6615694,4,1,1,5,6,16,0,0,6,1,8,8,2,2,0,0,3,2,1,1,1,2,1,1,2,1,1,1,1,2,102,2,0,0,0,0,0,0,2,2
389,8184486,3,1,1,3,8,3,8,0,0,1,2,2,2,2,0,0,2,2,1,1,1,2,1,1,2,1,2,1,1,2,0,2,0,0,0,0,0,0,1,2
390,7681484,4,1,1,1,24,10,10,5,9,1,5,5,5,5,0,1,14,13,1,1,1,2,1,1,2,1,1,1,1,2,1250,2,0,0,3,0,2,1,1,2
391,5142882,4,2,1,1,6,1,6,0,0,1,2,2,0,0,0,0,2,0,1,1,1,2,1,1,1,1,2,2,1,1,187,1,0,0,10,0,2,1,1,2
392,9718866,1,3,3,1,27,24,25,1,1,1,2,2,2,2,2,2,4,4,1,1,1,1,1,1,2,1,1,1,1,1,1700,1,2,1,2,0,1,2,1,2
393,6141738,3,1,1,6,4,2,0,4,0,1,11,1,1,1,1,0,1,1,1,1,1,2,1,1,2,1,1,1,1,2,123,2,0,0,0,0,0,0,2,2
394,4046291,3,1,1,5,4,1,4,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,1,1,1,2,8,2,0,0,0,0,0,0,2,2
395,8701060,4,1,1,5,10,4,10,0,0,1,3,3,2,2,3,2,4,5,1,1,1,2,1,1,2,1,2,1,1,2,62,1,0,0,10,0,1,1,1,2
396,3945943,4,1,1,1,18,3,15,3,0,1,5,5,5,5,0,0,8,6,1,1,1,2,1,1,2,1,1,1,1,2,605,2,0,0,0,0,0,0,1,2
397,9631828,1,1,1,1,5,1,5,0,0,1,3,3,3,3,0,0,4,4,1,1,1,2,1,1,2,1,1,1,1,1,150,2,0,0,0,0,0,0,2,2
398,8102542,4,1,1,1,4,1,1,3,0,1,1,1,2,2,1,1,4,4,1,1,1,2,1,1,2,1,2,1,1,2,15,2,0,0,0,0,0,0,1,2
399,7086883,3,1,1,1,5,1,5,0,0,2,1,1,1,1,0,0,1,2,1,1,1,2,1,1,2,1,1,1,1,1,45,2,0,0,0,0,0,0,2,2
400,6745474,2,1,1,1,22,5,22,0,0,1,2,2,1,1,0,0,2,1,1,1,1,2,1,1,2,1,2,1,2,2,264,2,0,0,4,0,0,0,2,2
401,6690738,4,1,1,5,7,3,7,0,0,1,2,2,3,3,0,0,2,3,1,1,1,2,1,1,2,1,2,1,1,2,124,1,0,0,10,0,1,2,1,2
402,6190961,2,2,2,1,7,3,7,0,0,1,2,2,2,2,1,0,2,2,1,1,1,2,1,1,2,1,1,1,2,2,400,2,8,6,2,0,1,2,1,2
403,5288571,4,1,1,1,3,0,1,0,2,2,1,1,2,2,0,0,1,2,1,1,1,2,1,1,2,1,1,1,1,2,22,2,0,0,0,0,0,0,2,2
404,1882642,3,1,1,1,20,4,4,0,16,1,0,0,13,13,0,0,0,13,1,1,1,2,1,1,2,1,2,1,1,1,812,2,0,0,0,0,0,0,2,2
405,7069371,3,1,1,1,14,2,14,0,0,1,0,0,7,7,0,0,0,7,1,1,1,2,1,1,1,1,1,1,1,2,468,2,1,0,3,0,0,0,2,2
406,4699288,1,1,1,5,5,12,5,0,0,1,4,4,4,4,0,0,4,4,1,1,1,2,1,1,2,1,2,1,1,2,600,2,0,0,2,0,0,0,2,2
407,7737518,3,1,1,1,3,0,3,0,0,1,1,1,2,2,0,0,1,1,1,1,1,2,1,1,2,1,1,2,1,2,0,2,0,0,0,0,0,0,2,2
408,1005072,2,1,1,1,6,5,5,0,1,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,2,2,2,0,2,0,0,0,0,0,0,2,2
